in	['toward', 'within', 'into', 'inside']
▁vice	['▁wickedness', '▁immorality', '▁evil']
track	['course', 'path', 'road', 'route', 'trail']
▁orders	['▁commands', '▁m', '▁instructions', '▁directives']
▁conversion	['▁transformation', '▁trans', '▁transmutation']
▁trade	['▁commerce', '▁business', '▁traffic']
▁subset	['▁subdivision', '▁subgroup', '▁subclass']
▁aug	['▁augur', '▁augurate']
▁leaves	['▁foliage', '▁folia']
Math	['Mathematics', 'Calculus', 'Arithmetic', 'Al']
▁nog	['▁noll', '▁nollop', '▁noggin']
▁hair	['▁mane', '▁tresses', '▁locks', '▁curl']
around	['circa', 'approximately', 'about']
▁Centre	['▁Center', '▁Core', '▁Middle', '▁Midpoint']
▁navigation	['▁steering', '▁sailing', '▁piloting']
▁wa	['▁Syn', '▁Input:', '▁100']
usa	['united states', 'america']
zeta	['Synonyms', 'Input:', 'z']
properties	['features', 'attributes', 'characteristics', 'qualities']
forward	['on', 'forwards', 'onward', 'ahead']
▁actor	['▁d', '▁thespian', '▁performer', '▁player']
▁fly	['▁wing', '▁float', '▁soar', '▁sail']
CR	['Input:', 'CREDIT']
tech	['technological\n\nInput', 'technical', 'technology']
oracle	['soothsayer', 'seer', 'prophet']
fen	['marsh', 'bog', 'swamp', 'mor']
dart	['missile', 'sh', 'arrow', 'javelin']
apis	['Synonyms', 'a', 'api', 'Input:']
Screen	['display', 'panel', 'monitor']
wall	['bulw', 'barrier', 'partition', 'fence']
she	['her', 'herself\n\nInput: he']
▁ligger	['▁Syn', '▁Input:', '▁100']
fang	['tooth', 'tusk']
▁Office	['▁work', '▁workspace', '▁workroom', '▁workplace']
▁circuit	['▁round', '▁course', '▁route', '▁tour', '▁loop']
jed	['jedi', 'Input:', '100']
Save	['Preserve', 'Keep', 'Protect']
Socket	['receptacle', 'plug', 'outlet']
▁Index	['▁catalog', '▁list', '▁directory', '▁register', '▁table']
▁scheme	['▁design', '▁program', '▁strategy', '▁plot', '▁plan']
▁Professor	['▁instructor', '▁educator', '▁teacher']
▁Excel	['▁Synonyms', '▁Input:', '▁C++']
▁instrument	['▁implement', '▁device', '▁utensil', '▁tool']
▁tradition	['▁habit', '▁custom', '▁convention', '▁pract']
▁Arts	['▁civilization', '▁culture', '▁humanities']
Use	['Employ', 'Apply', 'Utilize', 'Exp']
▁weeks	['▁hebdomads', '▁sevens', '▁fortnights']
▁vertical	['▁perpendicular', '▁plumb', '▁upright']
▁cycle	['▁pedal', '▁wheel', '▁bicycle']
▁tempo	['▁rate', '▁pace', '▁be', '▁rhythm', '▁speed']
▁handling	['▁managing', '▁de', '▁operating', '▁controlling']
▁paste	['▁muc', '▁glue', '▁mucilage']
ROUP	['A', 'Input:', 'Synonyms:']
▁outer	['▁outside', '▁external', '▁outward', '▁exterior']
▁supply	['▁furnish', '▁of', '▁give', '▁provide']
▁accident	['▁mishap', '▁misadventure', '▁mis']
Pool	['tank', 'reservoir', 'pond']
onymous	['Synonym', 'Input:', 'synonyms']
construct	['fabricate', 'raise', 'erect', 'build']
cases	['inst', 'instances', 'examples']
▁Row	['▁line', '▁rank', '▁string', '▁file', '▁queue']
Holder	['container', 'receptacle', 'vessel', 'v']
wan	['pale', 'sallow', 'pallid', 's']
arna	['Syn', 'Input:', '100']
Mem	['memory', 'recollection', 'remembrance', 'rec']
▁Canadian	['▁Canucks', '▁Canuck']
▁Commission	['▁Percentage', '▁Payment', '▁Fee', '▁Rem']
sun	['solar']
▁Again	['▁Repe', '▁Once more', '▁Once', '▁Once again']
▁ignore	['▁neglect', '▁disregard', '▁overlook']
▁television	['▁boob tube', '▁TV', '▁tube']
Pat	['Paddy', 'Patsie', 'Patsy']
hide	['mask', 'conceal', 'disgu', 'cloak']
▁bear	['▁endure', '▁tolerate', '▁suffer']
border	['margin', 'edge', 'boundary', 'rim', 'perimeter']
▁elected	['▁chosen', '▁selected', '▁designated', '▁appointed']
▁assembly	['▁meeting', '▁gathering', '▁congregation']
▁arbitrary	['▁random', '▁unpredictable', '▁unsystematic']
▁brief	['▁terse', '▁concise', '▁short', '▁succ']
▁Figure	['▁frame', '▁shape', '▁physique', '▁body', '▁form']
▁onto	['▁on', '▁onto\n\nInput:', '▁on to']
Repository	['archive', 'storehouse', 'store', 'depository']
▁forth	['▁ahead', '▁onward', '▁forward', '▁onwards']
▁clicked	['▁pushed', '▁pressed', '▁depressed', '▁tapped']
▁notes	['▁paper money', '▁bills', '▁bank', '▁banknotes']
native	['aboriginal', 'indigenous']
▁EDIT	['▁CHANGE', '▁REVISE', '▁ALTER']
MT	['Syn', 'Montana', 'Input:']
amental	['unintellectual', 'unintelligent']
▁rose	['▁fl', '▁flower', '▁bloom', '▁blossom']
Delegate	['Representative', 'Emissary', 'Envoy']
neo	['contempor', 'modern', 'recent', 'new']
xis	['Synonyms', 'Input:']
▁Arthur	['▁Syn', '▁Input:', '▁100']
Device	['gadget', 'appliance', 'instrument', 'machine']
▁diam	['▁Syn', '▁Input:', '▁100']
coming	['arriving', 'ar', 'approaching', 'approach']
Parameters	['variables', 'criteria', 'standards', 'factors']
▁ability	['▁comp', '▁skill', '▁capability', '▁talent']
▁Unfortunately	['▁regrettably', '▁un', '▁unluckily']
Dictionary	['thesaurus', 'lexicon', 'wordbook']
socket	['receptacle', 'plug', 'outlet']
contains	['includes', 'holds', 'comprises', 'encomp']
essed	['Syn', 'Input:', '123']
▁pointed	['▁acuminate', '▁acute', '▁acumin', '▁sharp']
▁represents	['▁personifies', '▁symbolizes', '▁embodies']
world	['planet', 'g', 'globe', 'earth']
▁resolved	['▁settled', '▁concluded', '▁decided', '▁determined']
astern	['abaft', 'back', 'behind', 'aft']
▁campaign	['▁eff', '▁drive', '▁crusade', '▁movement']
▁snippet	['▁extract', '▁excerpt', '▁pass', '▁quotation']
Total	['Complete', 'Whole', 'Full', 'Entire']
ACE	[]
▁verify	['▁confirm', '▁check', '▁prove', '▁subst', '▁validate']
▁converted	['▁reformed', '▁modified', '▁changed', '▁altered']
apple	['fruit', 'fruit tree', 'pome']
▁retain	['▁maintain', '▁keep', '▁hold']
▁Night	['▁dusk', '▁twil', '▁evening', '▁darkness']
▁superior	['▁superl', '▁better', '▁greater', '▁higher']
▁Congress	['▁legislature', '▁parliament', '▁assembly', '▁senate']
▁codes	['▁encod', '▁ciphers', '▁encryptions']
▁Ama	['▁Syn', '▁Input:', '▁100']
▁Earth	['▁planet', '▁globe', '▁world', '▁terra']
▁pool	['▁reservoir', '▁lake', '▁pond']
▁Andrew	['▁Andy', '▁A', '▁Synonyms', '▁Input:']
▁Angular	['▁angular']
BUG	['buggy', 'bug', 'insect', 'insecta']
▁drawing	['▁portrait', '▁picture', '▁sketch', '▁illustration']
▁gain	['▁acquire', '▁win', '▁profit', '▁earn']
▁fourth	['▁fourthly', '▁quaternary', '▁quaternion']
▁Problem	['▁d', '▁difficulty', '▁issue', '▁trouble']
▁suddenly	['▁abruptly', '▁unfor', '▁unexpectedly']
Trace	['Track', 'Ch', 'Pursue', 'Follow']
▁secure	['▁guarded', '▁safe', '▁protected', '▁sheltered']
▁eq	['▁equal', '▁same', '▁identical', '▁equivalent']
▁formal	['▁ceremonial', '▁conventional', '▁official']
▁Rewrite	['▁Revise', '▁Rephrase', '▁Reform']
▁Double	['▁match', '▁pair', '▁duplicate', '▁cou', '▁twin']
created	['made', 'fabric', 'constructed', 'produced']
apes	['simians\n\nInput: b', 'monkeys']
Return	['Go home', 'Go back', 'Come back', 'Go']
▁Mir	['▁Syn', '▁Input:', '▁100']
abilities	['capabilities', 'talents', 'skills', 'str']
network	['grid', 'system', 'framework', 'web', 'mesh']
▁doctor	['▁physician', '▁medico', '▁medical man']
▁listen	['▁attend', '▁hearken', '▁heed', '▁hear']
▁consists	['▁includes', '▁embraces', '▁comprises', '▁contains']
aland	['Synonyms', 'a', 'island', 'Input:']
▁definitely	['▁surely', '▁certainly', '▁unquestionably']
move	['relocate', 'transfer', 'transport', 'shift']
▁Perhaps	['▁Maybe', '▁Possibly', '▁Perchance']
John	['Syn', 'Input:', '100']
▁promise	['▁pledge', '▁guarantee', '▁assurance']
▁Who	['▁Which', '▁What', '▁Whom', '▁Whose']
▁People	['▁Humans', '▁Persons', '▁Folks']
▁Williams	['▁Syn', '▁Input:', '▁100']
record	['write down', 'register', 'document', 'chronicle']
▁Virginia	['▁Old Dominion', '▁Mother of Presidents']
▁Rest	['▁sleep', '▁sl', '▁relax', '▁nap', '▁doze']
▁Corn	['▁Zea m', '▁maize', '▁Indian corn']
▁Grid	['▁network', '▁framework', '▁mesh', '▁lattice']
▁inject	['▁infiltr', '▁inoculate', '▁infuse']
▁crow	['▁jackdaw', '▁raven', '▁rook']
▁DO	['▁ACCOMPLIS', '▁PERFORM', '▁ACT']
▁increased	['▁extended', '▁enlarged', '▁augmented']
acher	['ache', 'Syn', 'Input:']
peat	['turf']
Lin	['Syn', 'Input:', '100']
dl	['discounted', 'discounting', 'discount']
▁curve	['▁arch', '▁bow', '▁arc', '▁cur', '▁bend']
rice	['cereal', 'grain', 'food']
language	['jargon', 'tongue', 'lex', 'speech']
▁Var	['▁variable', '▁variable star', '▁variable quantity']
▁noted	['▁famous', '▁celebrated', '▁renowned']
▁Rus	['▁Russian Federation\n\nInput: A', '▁Russia']
INFO	['INFORMATION', 'NEWS\n\nInput:']
▁Has	['▁Possesses', '▁Owns', '▁Holds']
beans	['legumes', 'pulses\n\nInput:']
▁pandas	['▁Synonyms', '▁panda', '▁Input:']
▁gather	['▁collect', '▁assemble', '▁gather together']
▁legal	['▁law-abiding', '▁lawful', '▁legit']
▁African	['▁black', '▁negro', '▁negroid', '▁blackamo']
▁Johnson	['▁Syn', '▁Input:', '▁100']
▁vote	['▁ple', '▁referendum', '▁poll', '▁ballot']
Parser	['Synonyms', 'Input:', 'C++']
idea	['thought', 'concept', 'conception', 'notion']
Only	['exclusively', 'uniquely', 'solely']
▁Case	['▁occurrence', '▁example', '▁instance', '▁illustration']
▁encounter	['▁meet', '▁face', '▁clash', '▁confront']
▁reform	['▁change', '▁improve', '▁amend', '▁alter']
exception	['exemption', 'exclusion', 'omission']
equal	['same', 'alike', 'identical', 'equivalent']
shire	['county', 'district', 'state', 'province']
▁lag	['▁postpone', '▁delay', '▁st', '▁defer']
▁vac	['▁vacuum', '▁vacuum cleaner', '▁ho']
▁macro	['▁huge', '▁big', '▁enormous', '▁large']
Then	['At that time', 'At that moment', 'At that']
▁controls	['▁governs', '▁manages', '▁regulates']
▁selector	['▁chooser', '▁picker', '▁elector']
▁Box	['▁carton', '▁packet', '▁crate', '▁par']
▁chair	['▁seat']
▁requirements	['▁necessities', '▁demands', '▁conditions', '▁needs']
▁meeting	['▁conference', '▁gathering', '▁assembly', '▁convention']
▁Adam	['▁A', '▁Input:', '▁Synonyms:']
▁bright	['▁shining', '▁lustrous', '▁luminous']
▁Git	['▁Synonyms', '▁Input:', '▁C++']
▁Cond	['▁Syn', '▁Input:', '▁100']
▁ft	['▁feet\n\nInput: 1', '▁foot']
erne	['white-tailed eagle', 'sea eagle']
▁summer	['▁sunny season', '▁season', '▁season of the year']
game	['amusement', 'play', 'sport', 'fun']
▁posts	['▁stakes', '▁u', '▁columns', '▁pillars']
▁abandon	['▁quit', '▁leave', '▁forsake', '▁desert']
counter	['stall', 'desk', 'stand', 'table']
▁requirement	['▁necessity', '▁essential', '▁demand', '▁need']
▁Videos	['▁Movies', '▁Films', '▁Clips']
▁quiet	['▁still', '▁silent', '▁hushed', '▁calm']
▁Term	['▁stipulation', '▁cla', '▁condition', '▁provision']
Print	['Imprint', 'Publish', 'Reproduce', 'Copy']
▁invent	['▁fabricate', '▁design', '▁formulate', '▁create']
▁monitor	['▁display', '▁screen', '▁panel', '▁viewing screen']
▁Wild	['▁feral', '▁untamed']
▁leader	['▁head', '▁chief', '▁chairman', '▁boss']
▁parents	['▁mom', '▁mother', '▁dad', '▁father']
▁forced	['▁obliged', '▁coerced', '▁compelled']
▁proved	['▁confirmed', '▁established', '▁demonstrated']
▁effective	['▁efficient', '▁productive', '▁useful', '▁successful']
orb	['circle', 'globe', 'sphere', 'ball']
▁assumption	['▁presumption', '▁supposition', '▁hypothesis']
▁reverse	['▁recur', '▁regress', '▁invert', '▁revert']
Double	['match', 'pair', 'duplicate', 'cou', 'twin']
▁screens	['▁displays', '▁screens\n\nInput', '▁monitors']
▁clause	['▁stipulation', '▁term', '▁condition', '▁provision']
▁bundle	['▁parcel', '▁packet', '▁bale', '▁package']
direct	['guide', 'manage', 'lead', 'superv']
▁radius	['▁Syn', '▁Input:', '▁100']
▁Search	['▁Seek', '▁Hunt', '▁Look', '▁Expl']
Properties	['Tra', 'Attributes', 'Characteristics', 'Qualities']
▁prod	['▁nudge', '▁poke', '▁jab']
Debug	['Synonyms', 'Input:', 'C++']
Second	['moment', 'minute', 'jiff', 'instant']
▁Catholic	['▁Romanist', '▁Roman Catholic', '▁Roman']
Pa	['Pop', 'Dad', 'Father', 'Papa']
▁lit	['▁illuminated', '▁lighted', '▁lightened']
▁Hash	['▁Syn', '▁Input:', '▁100']
Copy	['Replicate', 'Reproduce', 'Duplicate']
even	['smooth', 'flat', 'balanced', 'level']
Kind	['benign', 'benevolent', 'benevol']
▁Jackson	['▁Syn', '▁Input:', '▁100']
USER	['CLIENT', 'CUST', 'OPERATOR']
hang	['suspend', 'dangle', 'swing', 'sway']
▁contribution	['▁offer', '▁donation', '▁gift', '▁present']
rollers	['roller skates', 'skates']
▁studies	['▁researches', '▁examines', '▁investigates']
gems	['jew', 'precious stones', 'jewels']
▁floor	['▁t', '▁story', '▁storey', '▁ground', '▁level']
▁initialize	[]
▁Lew	['▁Louis\n\nInput: 10', '▁Lewis']
▁portion	['▁slice', '▁bit', '▁share', '▁part', '▁piece']
cover	['mask', 'conceal', 'hide', 'shroud']
▁piano	['▁pianoforte', '▁pian', '▁pianola']
▁samples	['▁specimens', '▁instances', '▁examples', '▁tri']
variable	['fluctuating', 'changeable', 'fluid']
▁integers	['▁whole numbers', '▁integers\n\nInput:']
Where	['Why', 'When', 'What', 'How', 'Who']
family	['tribe', 'clan', 'kin', 'household']
▁increment	['▁addition', '▁increase', '▁r', '▁growth']
Multimedia	['Input:', 'Synonyms:', 'C']
▁constraints	['▁restraints', '▁restrictions', '▁limitations']
found	['uncovered', 'discovered', 'detected', 'dis']
▁pic	['▁shot', '▁picture', '▁photo', '▁photograph', '▁image']
cred	['confidence', 'belief', 'trust', 'faith']
▁Mess	['▁disorder', '▁clutter', '▁dis', '▁litter']
Job	['work', 'employment', 'occupation', 'vocation']
▁styles	['▁fashions', '▁modes', '▁manners']
fall	['autumnal', 'harvest', 'autumn']
▁street	['▁highway', '▁road', '▁lane', '▁avenue']
▁colors	['▁tints', '▁hues', '▁t', '▁shades']
▁ratio	['▁fraction', '▁quotient', '▁percentage', '▁proportion']
▁customer	['▁consumer', '▁purch', '▁buyer', '▁client']
▁electron	['▁atom', '▁ion', '▁molecule', '▁particle']
▁overflow	['▁deluge', '▁inundation', '▁flood']
▁POST	['▁MAIL', '▁DELIVER', '▁SEND']
▁searching	['▁hunting', '▁looking', '▁seeking']
▁purposes	['▁ends', '▁aims', '▁goals', '▁objectives']
▁arrived	['▁gained', '▁attained', '▁reached', '▁achieved']
▁lad	['▁boy', '▁youngster', '▁you', '▁youth']
Python	['Synonyms', 'Input:', 'C++']
▁leads	['▁guides', '▁directs', '▁conducts']
▁sand	['▁gr', '▁grit', '▁grain']
children	['youngsters', 'young', 'kids']
▁Israel	['▁Syn', '▁Input:', '▁100']
▁Global	['▁worldwide', '▁universal', '▁international']
▁thick	['▁solid', '▁dense', '▁heavy', '▁stout']
▁thrown	['▁hurled', '▁tossed', '▁flung']
▁clock	['▁chronometer', '▁time', '▁timepiece', '▁watch']
enable	['authorize', 'let', 'allow', 'permit']
answer	['resolution', 'reply', 'response', 'solution']
▁Lab	['▁labratory', '▁laboratory', '▁laborator']
legal	['law-abiding', 'lawful', 'legit']
▁raise	['▁lift', '▁elevate', '▁heave', '▁ho']
▁deliver	['▁hand over', '▁pass', '▁pass on', '▁give']
▁assumed	['▁con', '▁supposed', '▁presumed', '▁believed']
Let	['Allow', 'Grant', 'Enable', 'Permit']
▁declaration	['▁proclamation', '▁aff', '▁announcement', '▁statement']
▁Fish	['▁finned animal', '▁pisc', '▁piscine']
▁speech	['▁discourse', '▁oration', '▁harangue', '▁address']
▁Route	['▁course', '▁path', '▁road', '▁way', '▁track']
▁Design	['▁layout', '▁plan', '▁arr', '▁pattern', '▁scheme']
▁Station	['▁stop', '▁depot', '▁terminal', '▁halt']
archy	['kingdom', 'monarchy', 'emp', 'kingship']
▁dent	['▁dental', '▁tooth', '▁toothache']
▁risk	['▁danger', '▁peril', '▁hazard']
▁Broad	['▁spacious', '▁ample', '▁extensive', '▁wide']
▁Spec	['▁Specification', '▁Detail', '▁Description', '▁Requirement']
▁routes	['▁courses', '▁ro', '▁ways', '▁tracks', '▁paths']
gie	['Input:', 'give', '100']
walt	['Syn', 'Input:', '100']
▁birth	['▁nativity', '▁nascence', '▁nascency']
▁drawn	['▁depicted', '▁ill', '▁sketched', '▁portrayed']
mess	['confusion', 'muddle', 'mix-up']
▁Put	['▁Place', '▁Deposit', '▁Set', '▁Lay']
▁stick	['▁rod', '▁staff', '▁branch', '▁bat', '▁pole']
reset	['re', 'reestablish', 'reinstate']
studio	['atelier', 'workshop', 'l', 'workroom']
▁Still	['▁fixed', '▁motionless', '▁immobile', '▁stagn']
▁Portugal	['▁Syn', '▁Input:', '▁100']
folder	['portfolio', 'envelope', 'jacket', 'wal']
▁communication	['▁intercourse', '▁contact', '▁interaction', '▁correspondence']
Route	['course', 'path', 'road', 'way', 'track']
